127.0.0.1 - - [29/Oct/2021:12:02:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5071
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/logo.gif HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/label_search.gif HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/btn_search.gif HTTP/1.1" 200 1382
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/nav1.jpg HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/nav2.jpg HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/nav3.jpg HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/nav4.jpg HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/banner2.jpg HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/banner3.jpg HTTP/1.1" 200 4000
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/banner_sky_town.jpg HTTP/1.1" 200 18929
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/title_shop.gif HTTP/1.1" 200 3209
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/banner1.jpg HTTP/1.1" 200 4045
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/banner_fabric.jpg HTTP/1.1" 200 7758
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/btn_more1.gif HTTP/1.1" 200 1212
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/photo_product1.jpg HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/photo_product2.jpg HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/photo_product3.jpg HTTP/1.1" 200 4214
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/photo_product4.jpg HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/btn_more2.gif HTTP/1.1" 200 2634
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/gallery1.jpg HTTP/1.1" 200 23564
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/gallery2.jpg HTTP/1.1" 200 24211
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/gallery3.jpg HTTP/1.1" 200 28743
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/gallery4.jpg HTTP/1.1" 200 25694
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/bottom_logo.gif HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:02:43 +0900] "GET /JavaWebPrj/ch04/images/bottom_sign.gif HTTP/1.1" 200 1929
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:50 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:50 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:50 +0900] "GET /JavaWebPrj/ch04/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/label_search.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/btn_search.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/nav1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/nav2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/nav3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/nav4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/banner_fabric.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/btn_more1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/title_shop.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:32:51 +0900] "GET /JavaWebPrj/ch04/images/banner_sky_town.jpg HTTP/1.1" 304 -
