127.0.0.1 - - [03/Dec/2021:10:18:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:19:05 +0900] "GET /JavaWebPrjCh10/ch10/quiz1.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:19:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:19:08 +0900] "GET /JavaWebPrjCh10/Quiz101Controller HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:19:12 +0900] "GET /JavaWebPrjCh10/Quiz101Controller HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:19:15 +0900] "GET /JavaWebPrjCh10/Quiz101Controller HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:19:28 +0900] "GET /JavaWebPrjCh10/Quiz101Controller HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:19:31 +0900] "GET /JavaWebPrjCh10/Quiz101Controller HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:19:39 +0900] "GET /JavaWebPrjCh10/Quiz101Controller HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:19:40 +0900] "GET /JavaWebPrjCh10/Quiz101Controller HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:19:40 +0900] "GET /JavaWebPrjCh10/Quiz101Controller HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:20:06 +0900] "GET /JavaWebPrjCh10/Quiz101Controller HTTP/1.1" 200 187
